controller,month,call_count,error_count,avg_ms,max_ms,p95_ms,p99_ms,error_rate,ctrl_key,period,has_sonar_controller,dep_file_count,ctrl_complexity,ctrl_cognitive_complexity,ctrl_ncloc,ctrl_functions,ctrl_classes,ctrl_violations,dep_complexity_sum,dep_cognitive_sum,dep_ncloc_sum,dep_functions_sum,dep_classes_sum,dep_violations_sum,dep_complexity_per_function,dep_service_like_count,sp_line_count,sp_branch_count,sp_loop_count,sp_cursor_count,sp_dml_count,sp_select_count,sp_exception_count,sp_nested_sp_count,sp_cyclomatic_proxy,sp_unique_count,arch_dispatch_count,arch_sp_call_count,arch_matched_dispatch,arch_network_score,arch_public_action_count,arch_injected_dep_count,arch_async_action_count,log_arch_risk_v2,sp_dml_log_v2,sp_lines_log_v2,period_p75,is_risky_period_top25,split,is_excluded_period
ctrl_001,2025-10,36,0,576.6793888888889,9661.39,6589.532499999963,9661.39,0.0,ctrl_001,2025-10,1,2,4.0,0.0,60.0,4.0,1.0,0.0,19.0,0.0,81.0,19.0,2.0,0.0,1.0,0,36.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.5649493574615367,0.0,3.6109179126442243,8782.885900000001,0,train,0
ctrl_002,2025-10,12,0,2479.1419166666665,12785.706,11860.487999999988,12785.706,0.0,ctrl_002,2025-10,1,1,15.0,9.0,110.0,8.0,1.0,0.0,15.0,9.0,110.0,8.0,1.0,0.0,1.875,0,526.0,20.0,7.0,7.0,7.0,30.0,0.0,6.0,13.0,9.0,4.0,3.8,4.0,0.0,5.0,0.0,0.0,3.4339872044851463,2.0794415416798357,6.267200548541362,8782.885900000001,1,train,0
ctrl_003,2025-10,39481,1,53.320001138381485,347669.698,62.50651739130435,515.6085057142855,2.5328639092221576e-05,ctrl_003,2025-10,1,1,1.0,1.0,20.0,1.0,1.0,0.0,1.0,1.0,20.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,8782.885900000001,0,train,0
ctrl_004,2025-10,38,0,796.7424423076923,11926.055,10986.760799999987,11926.055,0.0,ctrl_004,2025-10,1,2,24.0,21.0,128.0,7.0,1.0,0.0,49.0,21.0,158.0,32.0,2.0,0.0,1.53125,0,553.0,51.0,4.0,4.0,3.0,20.0,1.0,8.0,44.0,7.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.290459441148391,1.3862943611198906,6.317164686747284,8782.885900000001,1,train,0
ctrl_005,2025-10,11525,0,6.91482863340564,2125.186,15.63,15.7303125,0.0,ctrl_005,2025-10,1,2,1.0,1.0,26.0,1.0,1.0,0.0,7.0,1.0,35.0,7.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3862943611198906,0.0,0.0,8782.885900000001,0,train,0
ctrl_006,2025-10,15,0,466.8106,2141.293,2117.87125,2141.293,0.0,ctrl_006,2025-10,1,2,23.0,13.0,163.0,10.0,1.0,0.0,23.0,13.0,170.0,10.0,2.0,0.0,2.3,0,206.0,6.0,4.0,4.0,3.0,5.0,0.0,9.0,7.0,5.0,5.0,1.0,5.0,0.0,5.0,0.0,0.0,4.248495242049359,1.3862943611198906,5.332718793265369,8782.885900000001,0,train,0
ctrl_007,2025-10,2330,0,1778.389848497854,104534.94,4324.506666666666,9096.818799999986,0.0,ctrl_007,2025-10,1,4,18.0,18.0,149.0,9.0,1.0,0.0,45.0,35.0,297.0,21.0,4.0,0.0,2.142857142857143,2,562.0,41.0,3.0,3.0,5.0,31.0,0.0,1.0,31.0,6.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,4.51085950651685,1.791759469228055,6.333279628139691,8782.885900000001,0,train,0
ctrl_008,2025-10,48,0,1164.6273699416524,6909.302,6655.582949999999,6909.302,0.0,ctrl_008,2025-10,1,1,15.0,9.0,107.0,8.0,1.0,0.0,15.0,9.0,107.0,8.0,1.0,0.0,1.875,0,458.0,12.0,7.0,7.0,6.0,22.0,0.0,10.0,7.0,9.0,4.0,2.8,4.0,0.0,5.0,0.0,0.0,3.4339872044851463,1.9459101490553132,6.129050210060545,8782.885900000001,0,train,0
ctrl_009,2025-10,30,0,3205.3311666666664,45280.475,40531.434,45280.475,0.0,ctrl_009,2025-10,1,2,5.0,1.0,46.0,3.0,1.0,0.0,14.0,1.0,63.0,12.0,2.0,0.0,1.1666666666666667,0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.772588722239781,0.0,3.044522437723423,8782.885900000001,1,train,0
ctrl_010,2025-10,157,0,1818.3639243464047,5469.861,4732.780399999999,5469.861,0.0,ctrl_010,2025-10,1,3,20.0,17.0,146.0,9.0,1.0,0.0,57.0,17.0,195.0,46.0,3.0,0.0,1.2391304347826086,1,635.0,18.0,9.0,9.0,6.0,29.0,0.0,7.0,11.0,11.0,4.0,3.8,4.0,0.0,5.0,1.0,0.0,4.394449154672439,1.9459101490553132,6.455198563340122,8782.885900000001,0,train,0
