controller,n_reliable,n_risky,risky_ratio,avg_p95_ms,max_p95_ms,label,ctrl_key,log_ctrl_complexity,log_ctrl_functions,log_dep_complexity_sum,dep_complexity_per_function,log_sp_line_count,sp_join_per_select,sp_aggregation_ratio,sp_dml_zero,sp_read_heavy_ratio,sp_line_count,sp_dml_count,log_max_table_rows,n_huge_tables,sp_loop_ratio,sp_order_ratio,log_table_volume,agg_x_dmlzero,complexity_total,agg_x_table
ctrl_001,6,0,0.0,1653.3508666666585,6589.532499999963,0,ctrl_001,1.6094379124341005,1.6094379124341005,2.995732273553991,1.0,3.610917912644224,0.0,0.0,1.0,1.0,36.0,0.0,14.300198961196113,0.0,1.0,1.0,19.837532614750145,0.0,5.605170185988092,0.0
ctrl_002,6,2,0.3333333333333333,6492.0800833333315,13172.038,0,ctrl_002,2.772588722239781,2.19722457733622,2.772588722239781,1.875,6.267200548541362,1.0,0.027778,0.0,0.777778,526.0,7.0,10.997539458447907,0.0,0.233333,0.333333,16.19601983923041,0.0,7.420177444479562,0.30548965107676596
ctrl_004,6,4,0.6666666666666666,10247.19668333333,24003.622,1,ctrl_004,3.218875824868201,2.079441541679836,3.912023005428146,1.53125,6.317164686747284,0.683333,0.138889,0.0,0.833333,553.0,3.0,15.11781551678049,0.0,0.181818,0.233333,20.9613596626956,0.0,8.662148830296347,2.0996982793101258
ctrl_007,7,0,0.0,4282.127570476188,4579.89925,0,ctrl_007,2.9444389791664403,2.302585092994046,3.828641396489095,2.142857142857143,6.333279628139691,0.166667,0.0,0.0,0.5,562.0,5.0,15.727080192018528,0.0,0.096774,0.166667,20.204416860328678,0.0,8.915937518512678,0.0
ctrl_008,6,2,0.3333333333333333,9099.378183333327,15490.767699999984,0,ctrl_008,2.772588722239781,2.19722457733622,2.772588722239781,1.875,6.129050210060545,1.0,0.0,0.0,0.777778,458.0,6.0,10.997539458447907,0.0,0.304348,0.222222,16.19601983923041,0.0,7.420177444479562,0.0
ctrl_009,6,1,0.16666666666666666,7766.539441666665,40531.434,0,ctrl_009,1.791759469228055,1.3862943611198906,2.70805020110221,1.1666666666666667,3.044522437723423,0.0,0.0,1.0,1.0,20.0,0.0,15.836242026721253,0.0,1.0,0.0,22.47872869570286,0.0,5.666476336996932,0.0
ctrl_010,6,1,0.16666666666666666,5461.596349999997,9935.323149999993,0,ctrl_010,3.044522437723423,2.302585092994046,4.060443010546419,1.2391304347826086,6.455198563340122,1.590909,0.204545,0.0,0.818182,635.0,6.0,10.997539458447907,0.0,0.310345,0.409091,16.19601983923041,0.0,8.344095883052452,2.249491708528227
ctrl_011,6,6,1.0,13560.734474999976,27434.659599999875,1,ctrl_011,2.6390573296152584,1.9459101490553128,3.610917912644224,1.2413793103448276,4.624972813284271,3.25,0.75,1.0,1.0,101.0,0.0,19.848788464028363,1.0,1.0,0.75,23.60998857738006,0.75,7.49135455260431,14.886591348021273
ctrl_128,3,0,0.0,1854.7841052502774,2314.135554633709,0,ctrl_128,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,3.4339872044851463,1.0,0.0,1.0,1.0,30.0,0.0,19.95221849897866,1.0,0.5,0.5,23.689888115151476,0.0,2.386294361119891,0.0
ctrl_012,7,0,0.0,1404.2505629774985,2187.964733333333,0,ctrl_012,1.6094379124341005,1.3862943611198906,1.6094379124341005,1.3333333333333333,5.765191102784844,0.015873,0.0,0.0,0.777778,318.0,10.0,14.80795904546416,0.0,1.047619,0.0,18.699778980471372,0.0,4.552209158201534,0.0
ctrl_014,6,5,0.8333333333333334,8904.979591666666,12230.5698,1,ctrl_014,2.8903717578961645,2.079441541679836,2.8903717578961645,2.4285714285714284,4.919980925828125,0.666667,0.0,0.0,0.5,136.0,3.0,8.894944460956886,0.0,0.25,0.0,13.157489179379702,0.0,8.209314944363758,0.0
ctrl_015,7,0,0.0,4783.684881547618,5830.8141000000005,0,ctrl_015,2.995732273553991,2.19722457733622,3.4011973816621555,1.6111111111111112,7.217443431696533,0.926316,0.04386,0.0,0.736842,1362.0,12.0,15.727080192018528,0.0,0.242424,0.310526,20.9613596626956,0.0,8.008040766327257,0.6897897372219327
ctrl_016,7,0,0.0,1786.4098214285696,6050.980999999986,0,ctrl_016,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,6.272877006546167,0.2,0.0,0.0,0.6,529.0,4.0,15.727080192018528,0.0,0.1,0.2,20.204416860328678,0.0,2.386294361119891,0.0
ctrl_017,7,1,0.14285714285714285,3236.497221428571,12029.53755,0,ctrl_017,2.302585092994046,2.19722457733622,2.772588722239781,1.0714285714285714,6.699500340161678,0.928401,0.035714,1.0,1.0,811.0,0.0,14.80795904546416,0.0,0.333333,0.17619,19.75584540782828,0.035714,6.146602386662398,0.5288514493497071
