file_name,dispatch_count,sp_call_count,matched_dispatch,network_score,public_action_count,injected_dep_count,async_action_count,sp_names
Ctrl001Controller.cs,1,1,1,0,1,0,0,CORP.PKG_011.SP_011_001|CORP.PKG_011.SP_011_032
Ctrl002Controller.cs,0,0,0,0,0,0,0,
Ctrl003Controller.cs,8,8,8,0,4,0,0,CORP.PKG_005.SP_005_010|CORP.PKG_014.SP_014_001|CORP.PKG_014.SP_014_002|CORP.PKG_014.SP_014_011|CORP.PKG_014.SP_014_004|CORP.PKG_014.SP_014_008|CORP.PKG_014.SP_014_010|CORP.PKG_014.SP_014_005|CORP.PKG_014.SP_014_007|CORP.PKG_014.SP_014_006
Ctrl004Controller.cs,1,1,1,0,3,2,0,CORP.PKG_015.SP_015_001|CORP.PKG_015.SP_015_003|CORP.PKG_015.SP_015_004|CORP.PKG_015.SP_015_009|CORP.PKG_015.SP_015_002|CORP.PKG_015.SP_015_008|CORP.PKG_015.SP_015_010|CORP.PKG_015.SP_015_011
Ctrl005Controller.cs,0,0,0,0,1,0,0,
Ctrl006Controller.cs,0,0,0,0,1,1,0,
Ctrl007Controller.cs,1,1,1,0,1,0,0,CORP.PKG_005.SP_005_034
Ctrl008Controller.cs,3,1,3,0,1,0,0,CORP.PKG_025.SP_025_023
Ctrl009Controller.cs,2,2,2,0,3,0,0,CORP.PKG_010.SP_010_009|CORP.PKG_010.SP_010_011|CORP.PKG_010.SP_010_003|CORP.PKG_004.SP_004_009|CORP.PKG_010.SP_010_001|CORP.PKG_004.SP_004_022
Ctrl010Controller.cs,2,2,2,0,1,0,0,CORP.PKG_009.SP_009_011|CORP.PKG_008.SP_008_007|CORP.PKG_008.SP_008_006|CORP.PKG_008.SP_008_008|CORP.PKG_008.SP_008_005|CORP.PKG_009.SP_009_013|CORP.PKG_009.SP_009_014|CORP.PKG_009.SP_009_022|CORP.PKG_008.SP_008_004
Ctrl011Controller.cs,0,0,0,0,0,0,0,
