OWNER,PACKAGE_NAME,SUBPROGRAM_NAME,START_LINE,END_LINE,SOURCE_LINE_COUNT,SELECT_COUNT,JOIN_COUNT,GROUP_BY_COUNT,ORDER_BY_COUNT,DISTINCT_COUNT,UNION_COUNT,INSERT_COUNT,UPDATE_COUNT,DELETE_COUNT,MERGE_COUNT,IF_COUNT,ELSIF_COUNT,CASE_COUNT,LOOP_COUNT,WHILE_COUNT,FOR_COUNT,EXCEPTION_COUNT,CURSOR_COUNT,EXECUTE_IMMEDIATE_COUNT,DBMS_SQL_COUNT,COMMIT_COUNT,ROLLBACK_COUNT,DML_COUNT,DYNAMIC_SQL_FLAG,READ_HEAVY_FLAG
CORP,PKG_001,SP_001_001,3,41,39,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0
CORP,PKG_001,SP_001_002,42,74,33,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_001,SP_001_003,75,154,80,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0
CORP,PKG_001,SP_001_004,155,172,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_001,SP_001_005,173,184,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORP,PKG_002,SP_002_001,3,34,32,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_003,SP_003_001,3,41,39,3,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_003,SP_003_002,42,146,105,6,4,0,0,1,2,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_001,3,44,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_002,45,79,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_003,80,112,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_004,113,145,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_005,146,179,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_006,180,213,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_007,214,276,63,2,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CORP,PKG_004,SP_004_008,277,298,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_009,299,686,388,24,0,0,0,0,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_010,687,"1,076",390,17,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_011,"1,077","1,154",78,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_012,"1,155","1,197",43,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_013,"1,198","1,239",42,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_014,"1,240","1,262",23,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_004,SP_004_015,"1,263","1,354",92,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_016,"1,355","1,442",88,6,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_017,"1,443","1,449",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_004,SP_004_018,"1,450","1,604",155,2,1,0,0,1,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_019,"1,605","1,752",148,5,1,0,0,3,0,2,4,0,0,2,1,0,2,0,1,0,0,0,0,0,0,6,0,0
CORP,PKG_004,SP_004_020,"1,753","1,801",49,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CORP,PKG_004,SP_004_021,"1,802","1,819",18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_004,SP_004_022,"1,820","1,866",47,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CORP,PKG_005,SP_005_001,15,172,158,9,0,4,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_005,SP_005_002,173,246,74,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORP,PKG_005,SP_005_003,247,335,89,3,0,0,2,0,0,5,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,5,0,0
CORP,PKG_005,SP_005_004,336,437,102,8,9,2,3,0,0,0,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,0,1
