OWNER,TABLE_NAME,NUM_ROWS,BLOCKS,AVG_ROW_LEN,LAST_ANALYZED
CORP,TBL_031,462528390,3011763,42,03-NIS-26
CORP,TBL_044,417079939,2792407,43,27-ŞUB-26
CORP,TBL_036,263934423,2795603,71,28-MAR-26
CORP,TBL_046,192671004,1600367,57,10-MAR-26
CORP,TBL_054,87273824,865733,67,22-KAS-25
CORP,TBL_001,64304336,376508,38,13-OCA-26
CORP,TBL_130,33404373,327002,65,04-TEM-25
CORP,TBL_003,7543840,887332,767,12-ŞUB-26
CORP,TBL_108,6778432,46943,43,24-ŞUB-26
CORP,TBL_020,6763696,88252,88,12-NIS-26
CORP,TBL_051,3677763,188127,345,31-MAR-26
CORP,TBL_131,2740070,18912,44,10-NIS-26
CORP,TBL_014,2697831,20934,49,23-OCA-26
CORP,TBL_077,2585755,14687,34,24-MAR-26
CORP,TBL_007,2099791,53832,181,12-NIS-26
CORP,TBL_150,1899853,38152,234,03-ŞUB-26
CORP,TBL_151,1896021,43577,302,17-MAR-26
CORP,TBL_145,1720774,26417,101,04-NIS-26
CORP,TBL_002,1623668,61989,254,24-KAS-25
CORP,TBL_008,1276607,28463,157,12-NIS-26
CORP,TBL_004,1199639,10097,44,05-OCA-26
CORP,TBL_141,1047977,12647,80,06-ŞUB-26
CORP,TBL_016,1023010,21320,139,07-NIS-26
CORP,TBL_142,777012,5788,48,12-MAR-26
CORP,TBL_140,566822,5032,58,09-NIS-26
CORP,TBL_152,553866,8932,188,13-MAR-26
CORP,TBL_143,512711,9077,115,09-NIS-26
CORP,TBL_006,388375,6169,107,03-NIS-26
CORP,TBL_139,384532,19277,328,10-NIS-26
CORP,TBL_153,348927,4943,114,19-ŞUB-26
CORP,TBL_015,344625,3397,65,19-ŞUB-26
CORP,TBL_154,317727,8321,326,27-ŞUB-26
CORP,TBL_012,286824,2137,51,24-MAR-26
CORP,TBL_155,250554,4423,122,23-ŞUB-26
CORP,TBL_144,250225,4402,111,07-NIS-26
CORP,TBL_017,250196,2641,73,30-OCA-26
CORP,TBL_156,167247,1376,106,14-OCA-26
CORP,TBL_111,161888,3016,126,08-NIS-26
CORP,TBL_018,147041,877,31,29-NIS-21
CORP,TBL_115,124023,1378,71,23-ŞUB-26
CORP,TBL_113,121363,1378,70,03-NIS-26
CORP,TBL_157,88423,625,42,23-MAY-22
CORP,TBL_047,78030,748,59,08-NIS-22
CORP,TBL_158,77768,109,68,07-OCA-23
CORP,TBL_104,72758,748,65,11-NIS-26
CORP,TBL_013,62102,499,52,07-MAR-26
CORP,TBL_126,61835,384,26,09-AĞU-20
CORP,TBL_009,59726,1507,181,12-NIS-26
CORP,TBL_019,55682,1000,101,10-NIS-26
CORP,TBL_128,27259,244,45,03-NIS-26
CORP,TBL_127,26652,370,64,30-MAR-26
CORP,TBL_060,26606,244,47,02-NIS-26
CORP,TBL_159,26253,3838,141,07-MAR-26
CORP,TBL_074,25535,622,130,10-NIS-26
CORP,TBL_149,21783,244,66,15-TEM-20
CORP,TBL_160,18381,4202,224,25-MAR-26
CORP,TBL_161,17252,3049,231,12-MAR-26
CORP,TBL_010,15896,247,69,02-NIS-26
CORP,TBL_099,15670,874,317,03-MAR-26
CORP,TBL_050,14391,370,148,09-NIS-26
CORP,TBL_121,12975,244,88,23-MAR-23
CORP,TBL_068,10398,110,75,30-AĞU-25
CORP,TBL_162,10223,1307,145,03-AĞU-25
CORP,TBL_163,9731,118,79,31-MAY-19
CORP,TBL_066,9199,80,48,09-NIS-26
CORP,TBL_081,8573,73,50,12-ŞUB-26
CORP,TBL_035,7294,83,71,26-ŞUB-26
CORP,TBL_090,6769,58,47,04-MAR-26
CORP,TBL_164,6745,20,173,29-ARA-24
CORP,TBL_011,5962,80,92,26-ARA-25
CORP,TBL_086,4408,28,28,21-ŞUB-26
CORP,TBL_165,3593,2052,151,03-AĞU-25
CORP,TBL_070,2978,28,56,26-ŞUB-26
CORP,TBL_026,2875,53,98,08-MAR-24
CORP,TBL_059,2533,38,63,06-NIS-26
CORP,TBL_029,2207,28,65,20-ŞUB-26
CORP,TBL_005,1824,31,81,12-OCA-26
CORP,TBL_166,1594,3056,140,03-AĞU-25
CORP,TBL_134,1589,13,42,16-EYL-24
CORP,TBL_058,1333,13,47,06-KAS-24
CORP,TBL_167,1259,3043,119,07-MAR-26
CORP,TBL_100,1162,35,138,21-ŞUB-26
CORP,TBL_168,1075,2656,152,11-NIS-26
CORP,TBL_169,1005,1016,177,29-ARA-24
CORP,TBL_085,996,20,93,10-NIS-26
CORP,TBL_032,850,20,71,31-MAR-26
CORP,TBL_076,834,20,20,05-ŞUB-26
CORP,TBL_170,639,5055,118,07-MAR-26
CORP,TBL_084,614,20,92,11-NIS-26
CORP,TBL_039,593,20,49,26-MAR-26
CORP,TBL_171,547,35,386,27-MAY-19
CORP,TBL_129,520,20,72,09-NIS-26
CORP,TBL_172,445,639,310,03-EYL-25
CORP,TBL_080,369,5,29,30-ARA-22
CORP,TBL_173,330,20,91,09-KAS-24
CORP,TBL_137,315,5,29,17-KAS-23
CORP,TBL_174,300,3027,419,26-MAR-26
CORP,TBL_038,282,5,44,07-MAR-26
CORP,TBL_175,279,4049,89,11-MAR-26
CORP,TBL_110,217,13,291,24-ŞUB-26
CORP,TBL_061,216,20,49,28-MAR-26
CORP,TBL_176,207,3037,185,03-AĞU-25
CORP,TBL_065,205,13,280,17-ARA-25
CORP,TBL_024,202,31,50,10-ŞUB-26
CORP,TBL_052,200,5,71,04-NIS-26
CORP,TBL_063,193,5,58,12-ŞUB-26
CORP,TBL_177,191,1288,92,03-AĞU-25
CORP,TBL_125,179,20,32,24-AĞU-23
CORP,TBL_178,172,2033,110,21-OCA-26
CORP,TBL_179,163,1020,176,03-AĞU-25
CORP,TBL_147,161,13,210,20-MAR-24
CORP,TBL_071,160,5,41,11-MAR-26
CORP,TBL_180,157,21,109,07-ŞUB-21
CORP,TBL_112,156,5,79,25-TEM-24
CORP,TBL_083,148,5,170,11-NIS-26
CORP,TBL_181,146,1028,279,03-AĞU-25
CORP,TBL_105,144,20,302,18-AĞU-25
CORP,TBL_182,140,3050,191,03-AĞU-25
CORP,TBL_067,138,5,93,08-ARA-25
CORP,TBL_075,137,5,77,02-ŞUB-26
CORP,TBL_138,135,5,74,05-MAR-25
CORP,TBL_041,128,20,64,11-EYL-23
CORP,TBL_183,119,2026,318,10-NIS-26
CORP,TBL_095,111,13,114,27-OCA-26
CORP,TBL_093,110,5,40,17-MAY-23
CORP,TBL_097,109,5,99,17-ARA-25
CORP,TBL_184,101,20,49,09-AĞU-23
CORP,TBL_185,98,5,43,10-MAY-22
CORP,TBL_186,93,14,188,13-OCA-24
CORP,TBL_053,91,5,216,27-ŞUB-26
CORP,TBL_062,90,8,50,20-NIS-21
CORP,TBL_043,90,5,80,20-ARA-24
CORP,TBL_064,82,5,45,10-NIS-26
CORP,TBL_033,79,5,43,13-ŞUB-26
CORP,TBL_091,77,5,38,13-OCA-26
CORP,TBL_187,71,20,50,09-HAZ-22
CORP,TBL_188,69,2019,91,11-NIS-26
CORP,TBL_114,69,13,117,26-EYL-23
CORP,TBL_027,62,8,94,06-MAR-26
CORP,TBL_025,62,20,35,12-MAR-26
CORP,TBL_189,59,14,89,13-OCA-24
CORP,TBL_190,57,2021,144,29-KAS-25
CORP,TBL_191,57,23,45,13-AĞU-22
CORP,TBL_192,54,7,99,07-OCA-23
CORP,TBL_117,52,13,56,26-MAR-26
CORP,TBL_107,50,5,65,22-ARA-23
CORP,TBL_136,50,20,78,28-HAZ-24
CORP,TBL_079,48,5,67,13-MAR-26
CORP,TBL_102,46,13,47,06-EYL-24
CORP,TBL_078,46,5,155,30-ARA-25
CORP,TBL_193,45,23,59,13-AĞU-22
CORP,TBL_194,43,8,58,10-MAY-22
CORP,TBL_088,40,5,38,30-MAR-26
CORP,TBL_094,39,5,79,29-KAS-25
CORP,TBL_087,33,5,50,06-NIS-22
CORP,TBL_195,32,2152,152,13-OCA-26
CORP,TBL_196,30,3034,249,13-OCA-26
CORP,TBL_197,30,7,99,07-OCA-23
CORP,TBL_198,28,7,98,07-OCA-23
CORP,TBL_199,26,5,111,31-MAY-19
CORP,TBL_132,26,5,164,01-NIS-26
CORP,TBL_123,20,5,198,06-ARA-22
CORP,TBL_030,20,5,31,23-ŞUB-24
CORP,TBL_118,19,5,107,14-OCA-26
CORP,TBL_023,15,5,144,10-EKI-23
CORP,TBL_098,14,13,118,13-OCA-26
CORP,TBL_055,14,5,52,05-OCA-26
CORP,TBL_037,14,8,87,17-OCA-25
CORP,TBL_096,13,5,72,17-ARA-25
CORP,TBL_056,12,4,50,20-NIS-22
CORP,TBL_200,11,14,90,13-OCA-24
CORP,TBL_040,10,8,40,26-ARA-25
CORP,TBL_109,10,8,34,11-NIS-23
CORP,TBL_201,9,8,39,18-ARA-20
CORP,TBL_202,8,7,121,13-OCA-24
CORP,TBL_146,8,5,102,23-OCA-24
CORP,TBL_122,8,5,47,06-ARA-22
CORP,TBL_028,7,5,24,11-ŞUB-25
CORP,TBL_120,7,5,69,21-ŞUB-26
CORP,TBL_034,7,8,54,22-AĞU-23
CORP,TBL_103,6,5,131,22-NIS-24
CORP,TBL_106,6,5,38,22-ARA-23
CORP,TBL_073,6,5,45,08-NIS-21
CORP,TBL_022,5,5,50,10-EKI-23
CORP,TBL_057,5,5,75,27-OCA-25
CORP,TBL_072,4,5,49,08-NIS-21
CORP,TBL_203,3,5,37,20-KAS-18
CORP,TBL_119,2,5,79,14-AĞU-25
CORP,TBL_089,1,5,70,02-ŞUB-24
CORP,TBL_148,1,5,81,18-ŞUB-20
CORP,TBL_204,0,0,0,25-HAZ-18
CORP,TBL_116,0,0,0,03-TEM-18
CORP,TBL_021,0,0,0,14-KAS-18
CORP,TBL_205,0,0,0,03-AĞU-18
CORP,TBL_069,0,0,0,14-KAS-25
CORP,TBL_133,0,0,0,31-MAR-22
CORP,TBL_206,0,0,0,29-MAR-24
CORP,TBL_082,0,0,0,22-AĞU-25
CORP,TBL_101,0,0,0,22-AĞU-25
CORP,TBL_045,0,0,0,25-KAS-21
